experiment,model,condition,adversarial_type,outcome_metric,tertile,n_tasks,value_mean,ci_lo_95,ci_hi_95,ci_method,n_boot,seed
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,severity,T_high,5,0.84,0.64,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,severity,T_low,5,0.94,0.82,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.2,A8.2,severity,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,count,T_high,5,12.6,8.6,16.8,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,count,T_low,5,11.4,8.0,14.8,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,count,T_med,5,9.0,6.2,11.8,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,severity,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.3,A8.3,severity,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,count,T_high,5,22.6,15.6,31.8,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,count,T_low,5,27.8,21.0,33.6,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,count,T_med,5,17.8,13.4,20.4,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,cvr,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,cvr,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,cvr,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,severity,T_high,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,severity,T_low,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
E2,Qwen2.5-Coder-32B,adversarial_A8.4,A8.4,severity,T_med,5,1.0,1.0,1.0,percentile_bootstrap,10000,42
